stereotipi,occorrenze,cluster N=10,cluster N=5,"COPPIE DI CLUSTER ALE:
---
2 FannoQuelloCheVogliono/PretendonoCose
2 SonoFannulloni
---
SonoPericolosi
SonoCriminali
---
HannoScarsaIgiene
PortanoDegrado
---
PesanoSulleNostreSpalle
Ci_Invadono
----
5 SonoDiversiDaNoi
5 HannoCulturaDiversa/SonoAnimali"
sono trattati,55,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
non profughi,47,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
è business,34,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono tutelati,33,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono approfittatori,31,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono impuniti,29,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
hanno diritti,27,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
tolgono soldi,25,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono privilegiati,18,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono finti,13,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono ingrati,11,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono benestanti,9,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
non rispettano autorità,8,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
non rispettano leggi,6,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
non rispettano regole,5,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono padroni,5,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono prepotenti,5,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
proteggono migranti,3,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono bugiardi,3,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono furbi,3,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono incivili sono,3,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono viziati,3,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sono viziosi,3,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
sfruttano deboli,2,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
pretendono aiuto,2,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
non rispettano legge,2,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
disturbano,2,FannoQuelloCheVogliono/PretendonoCose,FannoQuelloCheVoglionoSenzaContribuire,
non lavorare,24,SonoFannulloni,FannoQuelloCheVoglionoSenzaContribuire,
sono pigri,14,SonoFannulloni,FannoQuelloCheVoglionoSenzaContribuire,
sono fannulloni,10,SonoFannulloni,FannoQuelloCheVoglionoSenzaContribuire,
non lavorano,8,SonoFannulloni,FannoQuelloCheVoglionoSenzaContribuire,
sono nullafacenti,3,SonoFannulloni,FannoQuelloCheVoglionoSenzaContribuire,
non utili,3,SonoFannulloni,FannoQuelloCheVoglionoSenzaContribuire,
sono ladri,202,SonoCriminali,SonoPericolosi,
sono criminali,168,SonoCriminali,SonoPericolosi,
sono delinquenti,91,SonoCriminali,SonoPericolosi,
sono terroristi,85,SonoCriminali,SonoPericolosi,
