,agent,annotatore,text_count,count_agent,percentage,percentage_str
0,altri_stati,annotatore_01,1,1202,0.0008319467554076539,0.08
1,altri_stati,annotatore_02,1,90,0.011111111111111112,1.11
2,attivisti,annotatore_01,32,1202,0.026622296173044926,2.66
3,attivisti,annotatore_04,1,157,0.006369426751592357,0.64
4,attori,annotatore_01,1,1202,0.0008319467554076539,0.08
5,aziende,annotatore_01,1,1202,0.0008319467554076539,0.08
6,bambini,annotatore_05,10,1495,0.006688963210702341,0.67
7,calciatori,annotatore_01,1,1202,0.0008319467554076539,0.08
8,cristiani,annotatore_01,6,1202,0.004991680532445923,0.5
9,cristiani,annotatore_04,2,157,0.012738853503184714,1.27
10,destra,annotatore_01,2,1202,0.0016638935108153079,0.17
11,donne,annotatore_01,1,1202,0.0008319467554076539,0.08
12,donne,annotatore_04,1,157,0.006369426751592357,0.64
13,donne,annotatore_05,5,1495,0.0033444816053511705,0.33
14,ebrei,annotatore_01,1,1202,0.0008319467554076539,0.08
15,ebrei,annotatore_05,2,1495,0.0013377926421404682,0.13
16,europa,annotatore_02,1,90,0.011111111111111112,1.11
17,figli,annotatore_05,2,1495,0.0013377926421404682,0.13
18,giornalisti,annotatore_01,5,1202,0.004159733777038269,0.42
19,giornalisti,annotatore_04,1,157,0.006369426751592357,0.64
20,giornalisti,annotatore_05,13,1495,0.008695652173913044,0.87
21,giudici,annotatore_01,2,1202,0.0016638935108153079,0.17
22,immigrati,annotatore_01,498,1202,0.41430948419301167,41.43
23,immigrati,annotatore_02,56,90,0.6222222222222222,62.22
24,immigrati,annotatore_03,46,110,0.41818181818181815,41.82
25,immigrati,annotatore_04,86,157,0.5477707006369427,54.78
26,immigrati,annotatore_05,607,1495,0.4060200668896321,40.6
27,imprenditori,annotatore_01,1,1202,0.0008319467554076539,0.08
28,istituzioni,annotatore_01,2,1202,0.0016638935108153079,0.17
29,istituzioni,annotatore_02,2,90,0.022222222222222223,2.22
30,istituzioni,annotatore_05,26,1495,0.017391304347826087,1.74
31,italiani,annotatore_01,6,1202,0.004991680532445923,0.5
32,italiani,annotatore_02,7,90,0.07777777777777778,7.78
33,italiani,annotatore_04,20,157,0.12738853503184713,12.74
34,italiani,annotatore_05,1,1495,0.0006688963210702341,0.07
35,mafiosi,annotatore_01,3,1202,0.0024958402662229617,0.25
36,minoranza_etnica,annotatore_01,26,1202,0.021630615640599003,2.16
37,minoranza_etnica,annotatore_02,14,90,0.15555555555555556,15.56
38,minoranza_etnica,annotatore_04,8,157,0.050955414012738856,5.1
39,minoranza_etnica,annotatore_05,164,1495,0.1096989966555184,10.97
40,mussulmani,annotatore_01,158,1202,0.1314475873544093,13.14
41,mussulmani,annotatore_02,4,90,0.044444444444444446,4.44
42,mussulmani,annotatore_03,53,110,0.4818181818181818,48.18
43,mussulmani,annotatore_04,19,157,0.12101910828025478,12.1
44,mussulmani,annotatore_05,148,1495,0.09899665551839465,9.9
45,persone,annotatore_05,12,1495,0.008026755852842809,0.8
46,professionisti,annotatore_01,1,1202,0.0008319467554076539,0.08
47,rom_sinti,annotatore_01,392,1202,0.3261231281198003,32.61
48,rom_sinti,annotatore_02,3,90,0.03333333333333333,3.33
49,rom_sinti,annotatore_03,11,110,0.1,10.0
50,rom_sinti,annotatore_04,16,157,0.10191082802547771,10.19
51,rom_sinti,annotatore_05,471,1495,0.31505016722408025,31.51
52,scuola,annotatore_02,1,90,0.011111111111111112,1.11
53,sinistra,annotatore_01,59,1202,0.04908485856905158,4.91
54,sinistra,annotatore_02,1,90,0.011111111111111112,1.11
55,sinistra,annotatore_05,28,1495,0.018729096989966554,1.87
56,società,annotatore_01,1,1202,0.0008319467554076539,0.08
57,terroristi,annotatore_01,1,1202,0.0008319467554076539,0.08
58,terroristi,annotatore_04,1,157,0.006369426751592357,0.64
59,terroristi,annotatore_05,5,1495,0.0033444816053511705,0.33
60,uomini,annotatore_01,1,1202,0.0008319467554076539,0.08
61,uomini,annotatore_04,2,157,0.012738853503184714,1.27
62,uomini,annotatore_05,1,1495,0.0006688963210702341,0.07
