cluster_5_nome_ale,annotazioni_parsate,count
FannoQuelloCheVoglionoSenzaContribuire,disturbano,2
FannoQuelloCheVoglionoSenzaContribuire,hanno diritti,27
FannoQuelloCheVoglionoSenzaContribuire,non lavorano,8
FannoQuelloCheVoglionoSenzaContribuire,non lavorare,24
FannoQuelloCheVoglionoSenzaContribuire,non profughi,47
FannoQuelloCheVoglionoSenzaContribuire,non rispettano autorità,8
FannoQuelloCheVoglionoSenzaContribuire,non rispettano legge,2
FannoQuelloCheVoglionoSenzaContribuire,non rispettano leggi,6
FannoQuelloCheVoglionoSenzaContribuire,non rispettano regole,5
FannoQuelloCheVoglionoSenzaContribuire,non utili,3
FannoQuelloCheVoglionoSenzaContribuire,pretendono aiuto,2
FannoQuelloCheVoglionoSenzaContribuire,proteggono migranti,3
FannoQuelloCheVoglionoSenzaContribuire,sfruttano deboli,2
FannoQuelloCheVoglionoSenzaContribuire,sono approfittatori,31
FannoQuelloCheVoglionoSenzaContribuire,sono benestanti,9
FannoQuelloCheVoglionoSenzaContribuire,sono bugiardi,3
FannoQuelloCheVoglionoSenzaContribuire,sono fannulloni,10
FannoQuelloCheVoglionoSenzaContribuire,sono finti,13
FannoQuelloCheVoglionoSenzaContribuire,sono furbi,3
FannoQuelloCheVoglionoSenzaContribuire,sono impuniti,29
FannoQuelloCheVoglionoSenzaContribuire,sono incivili sono,3
FannoQuelloCheVoglionoSenzaContribuire,sono ingrati,11
FannoQuelloCheVoglionoSenzaContribuire,sono nullafacenti,3
FannoQuelloCheVoglionoSenzaContribuire,sono padroni,5
FannoQuelloCheVoglionoSenzaContribuire,sono pigri,14
FannoQuelloCheVoglionoSenzaContribuire,sono prepotenti,5
FannoQuelloCheVoglionoSenzaContribuire,sono privilegiati,18
FannoQuelloCheVoglionoSenzaContribuire,sono trattati,55
FannoQuelloCheVoglionoSenzaContribuire,sono tutelati,33
FannoQuelloCheVoglionoSenzaContribuire,sono viziati,3
FannoQuelloCheVoglionoSenzaContribuire,sono viziosi,3
FannoQuelloCheVoglionoSenzaContribuire,tolgono soldi,25
FannoQuelloCheVoglionoSenzaContribuire,è business,34
HannoCulturaDiversaDallaNostra,considerano donne,2
HannoCulturaDiversaDallaNostra,costrette velo,3
HannoCulturaDiversaDallaNostra,disprezzano donne,3
HannoCulturaDiversaDallaNostra,frugano in cassonetti,3
HannoCulturaDiversaDallaNostra,maltrattano donne,4
HannoCulturaDiversaDallaNostra,musulmani sono,2
HannoCulturaDiversaDallaNostra,non democratici,2
HannoCulturaDiversaDallaNostra,non hanno cultura,4
HannoCulturaDiversaDallaNostra,non hanno diritti,6
HannoCulturaDiversaDallaNostra,non hanno diritto,3
HannoCulturaDiversaDallaNostra,non integrar,9
HannoCulturaDiversaDallaNostra,non integrare,5
HannoCulturaDiversaDallaNostra,non italiani,6
HannoCulturaDiversaDallaNostra,non parlano italiano,2
HannoCulturaDiversaDallaNostra,non rispettano donne,2
HannoCulturaDiversaDallaNostra,non rispettano famiglia,2
HannoCulturaDiversaDallaNostra,non sanno figli,25
HannoCulturaDiversaDallaNostra,non vogliono democrazia,2
HannoCulturaDiversaDallaNostra,rovistano in spazzatura,3
HannoCulturaDiversaDallaNostra,sfruttano donne,2
HannoCulturaDiversaDallaNostra,sono africani,5
HannoCulturaDiversaDallaNostra,sono arretrati,6
HannoCulturaDiversaDallaNostra,sono autoritari,10
HannoCulturaDiversaDallaNostra,sono codardi,3
HannoCulturaDiversaDallaNostra,sono coperti,2
HannoCulturaDiversaDallaNostra,sono estremisti,10
HannoCulturaDiversaDallaNostra,sono falsi,4
HannoCulturaDiversaDallaNostra,sono fondamentalisti,2
HannoCulturaDiversaDallaNostra,sono ignoranti,13
HannoCulturaDiversaDallaNostra,sono immorali,2
HannoCulturaDiversaDallaNostra,sono incivili,16
HannoCulturaDiversaDallaNostra,sono incompatibili,23
HannoCulturaDiversaDallaNostra,sono indegni,2
HannoCulturaDiversaDallaNostra,sono inferiori,21
HannoCulturaDiversaDallaNostra,sono integralisti,14
HannoCulturaDiversaDallaNostra,sono intolleranti,17
HannoCulturaDiversaDallaNostra,sono islamici,2
HannoCulturaDiversaDallaNostra,sono migranti,2
HannoCulturaDiversaDallaNostra,sono misogini,7
HannoCulturaDiversaDallaNostra,sono mussulmani,22
HannoCulturaDiversaDallaNostra,sono musulmani,14
HannoCulturaDiversaDallaNostra,sono nomadi,52
HannoCulturaDiversaDallaNostra,sono primitivi,5
HannoCulturaDiversaDallaNostra,sono retrogradi,2
HannoCulturaDiversaDallaNostra,sono selvaggi,31
HannoCulturaDiversaDallaNostra,sono sottomesse,2
HannoCulturaDiversaDallaNostra,sono succubi,2
HannoCulturaDiversaDallaNostra,sono tribali,2
HannoCulturaDiversaDallaNostra,sono zingari,4
HannoCulturaDiversaDallaNostra,sottomette donna,2
HannoCulturaDiversaDallaNostra,trattano donne,3
HannoCulturaDiversaDallaNostra,tutela musulmani,4
HannoCulturaDiversaDallaNostra,va contro valori di,17
HannoCulturaDiversaDallaNostra,vanno contro valori di,3
HannoCulturaDiversaDallaNostra,è inferiore,3
HannoCulturaDiversaDallaNostra,è religione,19
None/Doubt,*,2
None/Doubt,aiuta immigrati,5
None/Doubt,aiuta rom,2
None/Doubt,aiutano rom,3
None/Doubt,guadagna da business di,2
None/Doubt,immigrati,2
None/Doubt,incita,2
None/Doubt,lucra su migranti,3
None/Doubt,lucrano su immigrati,3
None/Doubt,lucrano su migranti,12
None/Doubt,migranti,4
None/Doubt,migranti senza,2
None/Doubt,migranti sono,7
None/Doubt,non necessaria,2
None/Doubt,non ricchezza,2
None/Doubt,sfrutta immigrati,2
