cluster_5_nome_marem,annotazioni_parsate,count
RovinanoItalia,danneggiano ambiente,3
RovinanoItalia,deturpano città,4
RovinanoItalia,disturbano,2
RovinanoItalia,frugano in cassonetti,3
RovinanoItalia,hanno problemi,3
RovinanoItalia,inquinano,12
RovinanoItalia,limita libertà,8
RovinanoItalia,meritano pene,2
RovinanoItalia,minacciano cultura,5
RovinanoItalia,non benvoluti,3
RovinanoItalia,non cittadini,2
RovinanoItalia,non hanno casa,5
RovinanoItalia,non hanno cultura,4
RovinanoItalia,non hanno cura,5
RovinanoItalia,non hanno diritti,6
RovinanoItalia,non hanno diritto,3
RovinanoItalia,non integrar,9
RovinanoItalia,non integrare,5
RovinanoItalia,non italiani,6
RovinanoItalia,non meritano,3
RovinanoItalia,non meritano aiuto,5
RovinanoItalia,non necessaria,2
RovinanoItalia,non parlano italiano,2
RovinanoItalia,non utili,3
RovinanoItalia,portano degrado,13
RovinanoItalia,portano malattie,39
RovinanoItalia,rovinano ambiente,5
RovinanoItalia,rovinano italia,19
RovinanoItalia,rovistano in spazzatura,3
RovinanoItalia,sono africani,5
RovinanoItalia,sono animali,48
RovinanoItalia,sono arretrati,6
RovinanoItalia,sono dissoluti,2
RovinanoItalia,sono feccia,27
RovinanoItalia,sono ignoranti,13
RovinanoItalia,sono immorali,2
RovinanoItalia,sono incivili,16
RovinanoItalia,sono incivili sono,3
RovinanoItalia,sono incompatibili,23
RovinanoItalia,sono indegni,2
RovinanoItalia,sono inferiori,21
RovinanoItalia,sono primitivi,5
RovinanoItalia,sono problema,2
RovinanoItalia,sono retrogradi,2
RovinanoItalia,sono selvaggi,31
RovinanoItalia,sono sporchi,31
RovinanoItalia,sono stupidi,2
RovinanoItalia,sono tribali,2
RovinanoItalia,sono zingari,4
RovinanoItalia,va contro valori di,17
RovinanoItalia,vanno contro valori di,3
RovinanoItalia,vanno puniti,4
RovinanoItalia,vivono in degrado,2
RovinanoItalia,è inferiore,3
SonoEstremistiReligiosi,convertire italia,2
SonoEstremistiReligiosi,costrette velo,3
SonoEstremistiReligiosi,religione a violenza contro,4
SonoEstremistiReligiosi,sono estremisti,10
SonoEstremistiReligiosi,sono fanatici,3
SonoEstremistiReligiosi,sono fondamentalisti,2
SonoEstremistiReligiosi,sono integralisti,14
SonoEstremistiReligiosi,sono islamici,2
SonoEstremistiReligiosi,sono mussulmani,22
SonoEstremistiReligiosi,sono musulmani,14
SonoEstremistiReligiosi,sono terroristi,85
SonoEstremistiReligiosi,vogliono convertire,4
SonoMinaccia,disprezzano donne,3
SonoMinaccia,maltrattano bambini,10
SonoMinaccia,maltrattano deboli,32
SonoMinaccia,maltrattano donne,4
SonoMinaccia,maltrattano italiani,2
SonoMinaccia,maltrattano minori,2
SonoMinaccia,non prendono cura,2
SonoMinaccia,non rispettano donne,2
SonoMinaccia,non rispettano famiglia,2
SonoMinaccia,non sanno figli,25
SonoMinaccia,portano insicurezza,2
SonoMinaccia,prostituiscono,2
SonoMinaccia,religione a misoginia,2
SonoMinaccia,religione a pedofilia,4
SonoMinaccia,religione a violenza,35
SonoMinaccia,sfruttano deboli,2
SonoMinaccia,sfruttano donne,2
SonoMinaccia,sono aggressivi,3
SonoMinaccia,sono assassini,15
SonoMinaccia,sono criminali,168
SonoMinaccia,sono delinquenti,91
SonoMinaccia,sono ladri,202
SonoMinaccia,sono mafiosi,4
SonoMinaccia,sono minaccia,39
SonoMinaccia,sono misogini,7
SonoMinaccia,sono pedofili,10
SonoMinaccia,sono pericolo,21
SonoMinaccia,sono pericolosi,52
SonoMinaccia,sono sottomesse,2
SonoMinaccia,sono spacciatori,9
SonoMinaccia,sono stupratori,33
SonoMinaccia,sono vandali,4
SonoMinaccia,sono violente,4
SonoMinaccia,sono violenti,111
SonoMinaccia,sottomette donna,2
SonoMinaccia,spacciano,29
SonoMinaccia,stuprano,33
SonoMinaccia,stuprano donne,2
SonoMinaccia,trattano donne,3
SonoMinaccia,è minaccia,25
SonoMinaccia,è pericolo,6
SonoSfruttatori,conquistare europa,2
SonoSfruttatori,conquistare italia,6
SonoSfruttatori,conquistare occidente,2
SonoSfruttatori,convertire stati,5
SonoSfruttatori,drogano,3
SonoSfruttatori,eludono fisco,3
SonoSfruttatori,fanno figli,2
SonoSfruttatori,imporre dittatura,2
SonoSfruttatori,ingannano italiani,43
SonoSfruttatori,invadendo europa,4
SonoSfruttatori,invadendo italia,50
SonoSfruttatori,invadere europa,5
SonoSfruttatori,invadere italia,32
SonoSfruttatori,invadono italia,5
SonoSfruttatori,invaso italia,10
SonoSfruttatori,non democratici,2
SonoSfruttatori,non hanno competenze,2
SonoSfruttatori,non lavorano,8
SonoSfruttatori,non lavorare,24
SonoSfruttatori,non profughi,47
SonoSfruttatori,non rispettano autorità,8
SonoSfruttatori,non rispettano legge,2
SonoSfruttatori,non rispettano leggi,6
SonoSfruttatori,non rispettano regole,5
SonoSfruttatori,non vogliono democrazia,2
SonoSfruttatori,odiano italiani,4
SonoSfruttatori,pretendono aiuto,2
SonoSfruttatori,rovinando italia,2
SonoSfruttatori,rovinato economia,2
SonoSfruttatori,rubano lavoro,6
SonoSfruttatori,sono abusivi,4
SonoSfruttatori,sono approfittatori,31
SonoSfruttatori,sono autoritari,10
SonoSfruttatori,sono benestanti,9
SonoSfruttatori,sono bugiardi,3
SonoSfruttatori,sono clandestini,20
SonoSfruttatori,sono codardi,3
SonoSfruttatori,sono falsi,4
SonoSfruttatori,sono fannulloni,10
SonoSfruttatori,sono fardello,53
SonoSfruttatori,sono finti,13
SonoSfruttatori,sono furbi,3
SonoSfruttatori,sono illegali,2
SonoSfruttatori,sono ingrati,11
SonoSfruttatori,sono intolleranti,17
SonoSfruttatori,sono invasori,72
SonoSfruttatori,sono invasori sono,2
SonoSfruttatori,sono irregolari,53
SonoSfruttatori,sono mantenuti,9
SonoSfruttatori,sono mendicanti,9
SonoSfruttatori,sono nomadi,52
SonoSfruttatori,sono nullafacenti,3
SonoSfruttatori,sono padroni,5
SonoSfruttatori,sono parassiti,153
SonoSfruttatori,sono peso,22
SonoSfruttatori,sono pigri,14
SonoSfruttatori,sono prepotenti,5
SonoSfruttatori,sono succubi,2
SonoSfruttatori,sono troppi,12
SonoSfruttatori,sono truffatori,68
SonoSfruttatori,sono viziati,3
SonoSfruttatori,sono viziosi,3
SonoSfruttatori,sostituiscono italiani,2
SonoSfruttatori,tolgono case,15
SonoSfruttatori,tolgono soldi,25
SonoSfruttatori,vanno affrontati,9
SonoSfruttatori,vanno cacciati,20
SonoSfruttatori,vanno contrastati,13
SonoSfruttatori,vivono a spalle di,3
SonoSfruttatori,è illegale,3
SonoSfruttatori,è incontrollata,6
SonoTutelati,aiuta immigrati,5
SonoTutelati,aiuta rom,2
SonoTutelati,aiutano rom,3
SonoTutelati,avvantaggia migranti,9
SonoTutelati,avvantaggia rom,9
SonoTutelati,avvantaggia stranieri,2
SonoTutelati,coprono crimini,2
SonoTutelati,difende migranti,3
SonoTutelati,difende mussulmani,3
SonoTutelati,difende rom,6
SonoTutelati,difendono migranti,5
SonoTutelati,favorisce immigrazione,21
SonoTutelati,favorisce mussulmani,3
SonoTutelati,favoriscono immigrazione,9
SonoTutelati,guadagna da business di,2
SonoTutelati,hanno diritti,27
SonoTutelati,incentivano migranti,2
SonoTutelati,lucra su migranti,3
SonoTutelati,lucrano su immigrati,3
SonoTutelati,lucrano su migranti,12
SonoTutelati,mantengono immigrati,5
SonoTutelati,mantengono migranti,3
SonoTutelati,mantengono nomadi,2
SonoTutelati,mantengono rom,3
SonoTutelati,mantengono stranieri,2
SonoTutelati,preferisce immigrati,2
SonoTutelati,preferisce migranti,2
SonoTutelati,preferiscono immigrati,2
SonoTutelati,proteggono migranti,3
SonoTutelati,proteggono stranieri,2
SonoTutelati,sfrutta immigrati,2
SonoTutelati,sono avvantaggiati,9
SonoTutelati,sono coperti,2
SonoTutelati,sono impuniti,29
SonoTutelati,sono privilegiati,18
SonoTutelati,sono protetti,5
SonoTutelati,sono tutelati,33
SonoTutelati,sono vittime,8
SonoTutelati,tutela crimini,6
SonoTutelati,tutela migranti,7
SonoTutelati,tutela musulmani,4
SonoTutelati,tutela rom,6
SonoTutelati,tutela stranieri,6
SonoTutelati,tutelano stranieri,2
SonoTutelati,è business,34
